t, p, dt, dte, dp, derlog 
       15.33,      216.829,            0,            0,           -0,           -0 
     15.3342,      217.075,      0.00417,   0.00416887,     0.246247,     0.245264 
     15.3383,      217.319,      0.00833,   0.00832548,     0.490414,     0.487653 
     15.3425,      217.563,       0.0125,    0.0124898,     0.733751,     0.727816 
     15.3467,      217.805,      0.01667,    0.0166519,     0.975693,     0.965384 
     15.3508,      218.045,      0.02083,    0.0208017,      1.21569,      1.19984 
      15.355,      218.284,        0.025,    0.0249593,       1.4549,      1.43241 
     15.3592,      218.522,      0.02917,    0.0291146,       1.6928,      1.66256 
     15.3633,      218.758,      0.03333,    0.0332577,      1.92881,      1.88971 
     15.3675,      218.993,       0.0375,    0.0374085,      2.16408,      2.11497 
     15.3758,      219.459,      0.04583,    0.0456934,      2.63023,       2.5578 
       15.38,      219.691,         0.05,    0.0498375,      2.86168,      2.77621 
     15.3883,      220.149,      0.05833,    0.0581089,      3.32031,      3.20601 
     15.3967,      220.603,      0.06667,    0.0663813,      3.77457,      3.62728 
      15.405,      221.052,        0.075,    0.0746349,      4.22345,      4.03939 
     15.4133,      221.496,      0.08333,    0.0828795,      4.66758,      4.44291 
     15.4258,      222.154,      0.09583,    0.0952347,      5.32529,      5.03299 
     15.4383,      222.802,      0.10833,      0.10757,      5.97268,      5.60516 
     15.4508,      223.439,      0.12083,     0.119885,      6.60998,      6.15909 
     15.4633,      224.066,      0.13333,      0.13218,       7.2374,      6.69481 
     15.4758,      224.684,      0.14583,     0.144456,      7.85511,      7.21702 
     15.4925,      225.493,       0.1625,     0.160796,      8.66415,      7.88605 
     15.5092,      226.286,      0.17917,       0.1771,       9.4567,      8.52545 
     15.5258,      227.062,      0.19583,      0.19336,      10.2327,      9.14002 
     15.5425,      227.822,       0.2125,     0.209595,      10.9935,      9.72852 
     15.5592,      228.568,      0.22917,     0.225795,      11.7391,      10.2897 
       15.58,      229.479,         0.25,     0.245988,      12.6497,      10.9622 
     15.6217,      231.233,      0.29167,     0.286224,       14.404,      12.1964 
     15.6633,      232.901,      0.33333,     0.326236,      16.0724,      13.2976 
      15.705,      234.489,        0.375,     0.366046,      17.6604,      14.2766 
     15.7467,      236.001,      0.41667,     0.405645,       19.172,      15.1384 
     15.7883,       237.44,      0.45833,     0.445025,      20.6109,      15.8917 
       15.83,      238.811,          0.5,     0.484207,      21.9818,      16.5597 
     15.8717,      240.117,      0.54167,     0.523184,      23.2878,        17.14 
     15.9133,      241.361,      0.58333,     0.561947,       24.532,      17.6395 
      15.955,      242.547,        0.625,     0.600517,      25.7183,       18.065 
     15.9967,      243.678,      0.66667,     0.638886,      26.8492,      18.4226 
     16.0383,      244.756,      0.70833,     0.677047,      27.9275,      18.7149 
       16.08,      245.785,         0.75,     0.715019,      28.9561,      18.9507 
     16.1425,       247.24,       0.8125,     0.771604,      30.4111,      19.2076 
      16.205,      248.596,        0.875,     0.827754,      31.7676,      19.3623 
     16.2675,      249.862,       0.9375,     0.883472,      33.0328,      19.4308 
