38.21000		3245.000
38.21361		3256.095
38.21917		3265.693
38.22472		3270.400
38.23028		3273.105
38.23583		3274.978
38.24139		3276.407
38.24694		3277.499
38.25250		3278.386
38.25806		3279.096
38.26917		3280.288
38.28028		3281.213
38.29139		3281.985
38.30250		3282.718
38.31361		3283.330
38.33583		3284.415
38.35806		3285.385
38.38028		3286.211
38.40250		3286.975
38.42472		3287.640
38.44695		3288.281
38.46917		3288.969
38.49139		3289.542
38.51361		3290.085
38.53583		3290.658
38.59139		3291.804
38.64695		3292.836
38.70250		3293.791
38.75778		3294.700
38.81361		3295.541
38.87472		3296.305
38.92472		3296.939
38.98028		3297.589
39.03583		3298.208
39.09139		3298.796
39.14695		3299.400
39.20250		3299.874
39.25778		3300.447
39.31361		3300.875
39.42472		3301.845
39.53583		3302.686
39.64667		3303.343
39.75778		3304.054
39.86889		3304.726
39.98028		3305.354
40.09139		3305.949
40.20250		3306.476
40.31361		3306.995
40.42472		3307.477
40.64667		3308.393
40.90250		3309.303
41.12472		3309.983
41.34667		3310.686
41.56889		3311.229
