t, p, dt, dte, dp, derlog 
     22.3015,      173.334,      4.26152,       3.4472,       16.177,      3.32867 
     22.6347,      173.535,      4.59472,      3.66202,      16.3777,      3.31591 
     22.9681,      173.718,      4.92812,      3.87073,      16.5611,      3.30488 
     23.6347,      174.042,      5.59472,      4.27036,      16.8848,      3.28677 
     23.9681,      174.186,      5.92812,       4.4619,      17.0288,      3.27908 
     24.6347,      174.444,      6.59472,      4.82931,      17.2876,      3.26502 
     25.3015,      174.671,      7.26152,      5.17747,      17.5144,      3.25357 
     25.9681,      174.872,      7.92812,      5.50765,      17.7152,      3.24345 
     26.6347,      175.051,      8.59472,       5.8213,      17.8945,      3.23507 
     27.3015,      175.213,      9.26152,      6.11973,       18.056,      3.22709 
     27.9681,      175.359,      9.92812,      6.40384,      18.2023,      3.22073 
     28.9681,      175.555,      10.9281,      6.80552,      18.3979,      3.21157 
     29.9681,      175.727,      11.9281,       7.1804,      18.5699,      3.20416 
     30.9681,      175.879,      12.9281,      7.53107,      18.7224,      3.19753 
     31.9681,      176.016,      13.9281,       7.8598,      18.8589,      3.19171 
     32.6347,      176.099,      14.5947,      8.06774,      18.9422,        3.188 
     33.3015,      176.177,      15.2615,      8.26742,      19.0201,      3.18468 
     33.9681,       176.25,      15.9281,       8.4592,      19.0931,      3.22049 
