 	56.0	9910.999999999998
 	56.25	10095
 	56.5	10255
 	56.75	10451
 	57.0	10564
 	57.25	10631
 	57.5	10703
 	57.75	10743
 	58.0	10806
 	58.25	10814
 	58.5	10830
 	59.0	10854
 	59.5	10878
 	60	10878
 	61	10902
 	62	10902
 	63	10917
 	64	10925
 	65	10933
 	66	10941
 	68	10941
 	70	10950
 	72	10959
 	74	10958
 	76	10973
 	80	10982
 	84	10939
 	88	10989
 	92	10989
 	96	11045
 	101	11109
 	106	11109
 	111	11109
 	126	11141
 	128	11149
 	131	11149
 	135	11156
 	139	11165
 	143	11165
 	148	11181
 	153	11181
 	158	11189
 	163	11197
 	168	11200
 	173	11200
 	178	11200
 	183	11200
 	194	11229
 	196	11229
 	198	11252
 	201	11252
 	204	11268
 	209	11284
 	213	11292
 	216	11300
 	220	11300
 	225	11308
 	230	11316
 	234	11316
 	239	11316
