0.0	    11347
0.25	10989
0.50	10630
0.75	10486
1.00	10359
1.25	10343
1.50	10271
1.75	10215
2.00	10183
2.50	10136
3.00	10112
3.50	10080
4.00	10056
4.50	10048
5.00	10040
5.50	10032
6.00	10016
7.00	10000
8.00	9984
9.00	9968
10.00	9960
12.00	9936
14.00	9920
16.00	9904
18.00	9880
20.00	9864
24.00	9832
28.00	9816
32.00	9792
36.00	9759
40.00	9735
45.00	9703
50.00	9679
55.00	9647
66.00	9487
67.00	9479
69.00	9463
71.00	9455
74.00	9447
77.00	9431
80.00	9423
84.00	9406
88.00	9382
92.00	9358
96.00	9342
100.00	9326
104.00	9302
108.00	9294
112.00	9270
116.00	9246
120.00	9230
131.00	9150
132.00	9142
134.00	9134
136.00	9125
138.00	9117
143.00	9109
148.00	9085
153.00	9061
158.00	9037
163.00	9021
168.00	9013
173.00	9005
178.00	8981
